Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala,"HPHigh school/ Scheme Name: HANDPUMP,/SC120150455",Deep Tubewell,Addategala RWSS Sub Division LabSUB-DIVISION Lab,10/06/2020,176/2020,0.000,Nil,0.210,0.130,99.000,10.000,89.000,96.000,36.000,Nil,Nil,Nil,7.250,Nil,846.000,412.000,Nil,356.000,Nil,Nil,L0032884993
Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala,"HPHigh school/ Scheme Name: HANDPUMP,/SC120150455",Deep Tubewell,Addategala RWSS Sub Division LabSUB-DIVISION Lab,10/07/2020,609/2020,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,0.000,Nil,Nil,Nil,Nil,0.000,Nil,Nil,0.000,L0035829270
Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala,"HPHigh school/ Scheme Name: HANDPUMP,/SC120150455",Deep Tubewell,Addategala RWSS Sub Division LabSUB-DIVISION Lab,05/02/2021,4053/2020,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,0.000,Nil,Nil,Nil,Nil,0.000,Nil,Nil,0.000,L0037148507
Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala," PWS NEAR GP OFFICE/ Scheme Name: PWS,/SC120150456",Deep Tubewell,Addategala RWSS Sub Division LabSUB-DIVISION Lab,10/09/2020,1245/2020,0.000,Nil,0.200,0.160,77.000,2.000,88.000,35.000,13.000,Nil,Nil,Nil,7.410,Nil,287.000,144.000,Nil,124.000,Nil,Nil,L0035892177
Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala," PWS NEAR GP OFFICE/ Scheme Name: PWS,/SC120150456",Deep Tubewell,Addategala RWSS Sub Division LabSUB-DIVISION Lab,10/06/2020,160/2020,0.000,Nil,0.210,0.130,99.000,6.000,65.000,86.000,32.000,Nil,Nil,Nil,7.230,Nil,710.000,348.000,Nil,298.000,Nil,Nil,L0032884807
Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala," PWS NEAR GP OFFICE/ Scheme Name: PWS,/SC120150456",Deep Tubewell,Addategala RWSS Sub Division LabSUB-DIVISION Lab,25/01/2021,546/2020,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,0.000,Nil,Nil,Nil,Nil,0.000,Nil,Nil,0.000,L0035813813
Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala," PWS SVS ADDATEEGALA/ Scheme Name: PROVIDING NEW SVS SCHEME TO ADDATEEGALA,/SC120150457",Deep Tubewell,Addategala RWSS Sub Division LabSUB-DIVISION Lab,10/09/2020,1256/2020,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,0.000,Nil,Nil,Nil,Nil,0.100,Nil,Nil,0.000,L0034637760
Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala," PWS SVS ADDATEEGALA/ Scheme Name: PROVIDING NEW SVS SCHEME TO ADDATEEGALA,/SC120150457",Deep Tubewell,Addategala RWSS Sub Division LabSUB-DIVISION Lab,10/06/2020,159/2020,0.000,Nil,0.220,0.020,77.000,5.000,45.000,79.000,29.000,Nil,Nil,Nil,7.110,Nil,571.000,284.000,Nil,244.000,Nil,Nil,L0032884801
Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala," PWS SVS ADDATEEGALA/ Scheme Name: PROVIDING NEW SVS SCHEME TO ADDATEEGALA,/SC120150457",Deep Tubewell,Addategala RWSS Sub Division LabSUB-DIVISION Lab,25/01/2021,544/2020,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,0.000,Nil,Nil,Nil,Nil,0.000,Nil,Nil,0.000,L0035813704
Andhra Pradesh,East Godavari,Addateegala,Addateegala,Addateegala,Addateegala,"NEAR PHC/ Scheme Name: PWS,/SC120150458",Deep Tubewell,Addategala RWSS Sub Division LabSUB-DIVISION Lab,09/06/2020,186/2020,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,0.000,Nil,Nil,Nil,Nil,0.200,Nil,Nil,0.000,L0032856119
